"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-01","1988","01","01","","3.1","","-0.3","","1.4","","16.6","","0.0","","0.0","T","0.0","T","0.0","T","44","","22","","46",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-02","1988","01","02","","1.5","","-11.1","","-4.8","","22.8","","0.0","","0.0","","0.0","","0.0","","34","","29","","63",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-03","1988","01","03","","-2.8","","-13.0","","-7.9","","25.9","","0.0","","0.0","","0.0","T","0.0","T","32","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-04","1988","01","04","","-0.8","","-7.8","","-4.3","","22.3","","0.0","","0.0","","16.2","","15.0","","31","","9","","56","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-05","1988","01","05","","0.0","","-12.5","","-6.3","","24.3","","0.0","","0.0","","1.0","","0.8","","43","","26","","74",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-06","1988","01","06","","-12.1","","-16.5","","-14.3","","32.3","","0.0","","0.0","","1.2","","0.8","","43","","29","","63",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-07","1988","01","07","","-13.2","","-16.9","","-15.1","","33.1","","0.0","","0.0","","0.0","T","0.0","T","42","","31","","57",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-08","1988","01","08","","-7.0","","-19.8","","-13.4","","31.4","","0.0","","0.0","","0.0","T","0.0","T","41","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-09","1988","01","09","","-2.0","","-7.8","","-4.9","","22.9","","0.0","","0.0","","20.4","","19.2","","50","","36","","54",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-10","1988","01","10","","-4.2","","-13.8","","-9.0","","27.0","","0.0","","0.0","","0.0","","0.0","","60","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-11","1988","01","11","","-5.5","","-15.5","","-10.5","","28.5","","0.0","","0.0","","0.0","T","0.0","T","58","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-12","1988","01","12","","0.3","","-7.6","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","57","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-13","1988","01","13","","6.4","","-1.2","","2.6","","15.4","","0.0","","0.0","T","0.0","","0.0","T","53","","21","","57",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-14","1988","01","14","","-0.8","","-23.8","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","40","","34","","57",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-15","1988","01","15","","-9.7","","-21.1","","-15.4","","33.4","","0.0","","0.0","","0.0","T","0.0","T","40","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-16","1988","01","16","","-1.2","","-12.4","","-6.8","","24.8","","0.0","","0.0","","0.0","T","0.0","T","39","","22","","43",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-17","1988","01","17","","3.8","","-6.3","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","37","","20","","50",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-18","1988","01","18","","5.0","","0.7","","2.9","","15.1","","0.0","","0.2","","0.0","","0.2","","31","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-19","1988","01","19","","4.2","","0.0","","2.1","","15.9","","0.0","","13.4","","0.0","","13.4","","26","","14","","46",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-20","1988","01","20","","0.6","","-1.0","","-0.2","","18.2","","0.0","","0.6","","2.0","","2.0","","21","","35","","63",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-21","1988","01","21","","5.3","","-0.4","","2.5","","15.5","","0.0","","7.0","","0.0","","7.0","","20","","15","","52",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-22","1988","01","22","","1.2","","-11.5","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","17","","31","","52",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-23","1988","01","23","","-2.5","","-11.9","","-7.2","","25.2","","0.0","","0.0","","3.4","","1.8","","17","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-24","1988","01","24","","-0.5","","-8.2","","-4.4","","22.4","","0.0","","0.0","","0.6","","0.2","","20","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-25","1988","01","25","","2.9","","-4.6","","-0.9","","18.9","","0.0","","3.4","","0.0","","3.4","","15","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1988-01-26","1988","01","26","","12.3","","-0.1","","6.1","","11.9","","0.0","","42.0","","0.0","","42.0","","10","","19","","89",""
