"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-01","1983","01","01","","1.0","","-2.2","","-0.6","","18.6","","0.0","","2.0","","2.4","","5.0","","2","","27","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-02","1983","01","02","","3.1","","-1.8","","0.7","","17.3","","0.0","","0.0","","0.0","T","0.0","T","1","","25","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-03","1983","01","03","","0.6","","-14.4","","-6.9","","24.9","","0.0","","0.0","","0.6","","0.2","","0","T","32","","50",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-04","1983","01","04","","-14.2","","-20.1","","-17.2","","35.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","34","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-05","1983","01","05","","0.2","","-18.1","","-9.0","","27.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","21","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-06","1983","01","06","","1.7","","-2.2","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","0","T","34","","52",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-07","1983","01","07","","4.4","","-5.3","","-0.5","","18.5","","0.0","","1.2","","1.2","","2.6","","0","T","32","","46",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-08","1983","01","08","","5.7","","-3.5","","1.1","","16.9","","0.0","","0.0","T","0.0","T","0.0","T","0","","29","","65",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-09","1983","01","09","","-3.2","","-11.5","","-7.4","","25.4","","0.0","","0.0","","0.8","","0.8","","0","T","31","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-10","1983","01","10","","0.6","","-12.3","","-5.9","","23.9","","0.0","","0.0","T","0.0","","0.0","T","0","T","13","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-11","1983","01","11","","11.5","","0.5","","6.0","","12.0","","0.0","","24.0","","0.0","","24.0","","0","T","16","","115",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-12","1983","01","12","","10.2","","4.0","","7.1","","10.9","","0.0","","14.0","","0.0","","14.0","","0","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-13","1983","01","13","","5.3","","-2.0","","1.7","","16.3","","0.0","","10.0","","1.4","","10.9","","0","","34","","59",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-14","1983","01","14","","-1.0","","-9.1","","-5.1","","23.1","","0.0","","0.0","","0.2","","0.2","","1","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-15","1983","01","15","","-3.8","","-9.4","","-6.6","","24.6","","0.0","","0.0","","0.0","","0.0","","1","","6","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-16","1983","01","16","","7.1","","-5.6","","0.8","","17.2","","0.0","","41.8","","0.7","","42.3","","1","","10","","111",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-17","1983","01","17","","1.6","","-3.4","","-0.9","","18.9","","0.0","","0.0","T","0.0","T","0.0","T","0","","23","","93",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-18","1983","01","18","","-2.2","","-11.0","","-6.6","","24.6","","0.0","","0.0","","0.0","T","0.0","T","0","","30","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-19","1983","01","19","","-10.4","","-12.9","","-11.7","","29.7","","0.0","","0.0","","0.6","","0.6","","0","T","31","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-20","1983","01","20","","-7.7","","-14.9","","-11.3","","29.3","","0.0","","0.0","","0.0","T","0.0","T","0","T","33","","65",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1983-01-21","1983","01","21","","-9.4","","-16.4","","-12.9","","30.9","","0.0","","0.0","","0.0","","0.0","","0","T","31","","44",""
