"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-01","1978","01","01","","-3.8","","-7.1","","-5.5","","23.5","","0.0","","0.0","","7.1","","6.5","","5","","3","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-02","1978","01","02","","-4.0","","-7.0","","-5.5","","23.5","","0.0","","0.0","","1.5","","1.3","","10","","35","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-03","1978","01","03","","-5.3","","-9.6","","-7.5","","25.5","","0.0","","0.0","","0.2","","0.2","","10","","24","","46",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-04","1978","01","04","","-7.0","","-12.0","","-9.5","","27.5","","0.0","","0.0","","0.0","T","0.0","T","10","","29","","39",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-05","1978","01","05","","-2.1","","-10.7","","-6.4","","24.4","","0.0","","0.0","","1.8","","1.2","","10","","27","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-06","1978","01","06","","-7.0","","-17.6","","-12.3","","30.3","","0.0","","0.0","","0.8","","0.4","","11","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-07","1978","01","07","","-7.9","","-18.5","","-13.2","","31.2","","0.0","","0.0","","0.0","T","0.0","T","11","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-08","1978","01","08","","-0.5","","-18.3","","-9.4","","27.4","","0.0","","0.0","","0.0","","0.0","","11","","15","","46",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-09","1978","01","09","","10.2","","-0.7","","4.8","","13.2","","0.0","","18.6","","0.0","","18.6","","10","","16","","117",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-10","1978","01","10","","1.5","","-10.4","","-4.5","","22.5","","0.0","","0.0","","0.0","T","0.0","T","0","T","21","","91",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-11","1978","01","11","","-9.5","","-15.5","","-12.5","","30.5","","0.0","","0.0","","0.2","","0.0","T","0","T","28","","52",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-12","1978","01","12","","-10.9","","-16.4","","-13.7","","31.7","","0.0","","0.0","","0.4","","0.4","","0","T","26","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-13","1978","01","13","","-9.7","","-19.1","","-14.4","","32.4","","0.0","","0.0","","7.3","","7.0","","1","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-14","1978","01","14","","10.7","","-10.0","","0.4","","17.6","","0.0","","94.1","","6.2","","100.1","","14","","15","","100",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-15","1978","01","15","","10.5","","1.4","","6.0","","12.0","","0.0","","17.8","","0.0","","17.8","","0","","17","","91",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-16","1978","01","16","","1.4","","-8.7","","-3.7","","21.7","","0.0","","0.0","","0.0","T","0.0","T","0","","23","","57",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-17","1978","01","17","","-3.3","","-9.6","","-6.5","","24.5","","0.0","","0.0","","0.0","","0.0","","0","","27","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-18","1978","01","18","","7.7","","-6.2","","0.8","","17.2","","0.0","","49.5","","10.7","","62.5","","0","T","11","","65",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-19","1978","01","19","","-1.4","","-7.7","","-4.6","","22.6","","0.0","","0.0","","0.0","T","0.0","T","2","","33","","70",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-20","1978","01","20","","-5.0","","-11.7","","-8.4","","26.4","","0.0","","0.0","","20.2","","29.3","","1","","7","","46",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-21","1978","01","21","","-2.3","","-7.6","","-5.0","","23.0","","0.0","","2.0","","1.4","","3.9","","18","","6","","43",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-22","1978","01","22","","-3.7","","-10.1","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","18","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-23","1978","01","23","","-1.6","","-10.3","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","17","","28","","39",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-24","1978","01","24","","0.1","","-9.6","","-4.8","","22.8","","0.0","","0.0","","0.0","T","0.0","T","17","","22","","41",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-25","1978","01","25","","4.5","","-1.3","","1.6","","16.4","","0.0","","7.6","","0.0","","7.6","","15","","19","","46",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-26","1978","01","26","","12.9","","3.5","","8.2","","9.8","","0.0","","48.9","","0.0","","48.9","","8","","18","","91",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-27","1978","01","27","","5.0","","-2.7","","1.2","","16.8","","0.0","","1.2","","0.0","T","1.2","","0","","21","","83",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-28","1978","01","28","","-0.7","","-3.7","","-2.2","","20.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","23","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-29","1978","01","29","","-1.6","","-8.3","","-5.0","","23.0","","0.0","","0.0","","7.5","","5.2","","0","T","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-30","1978","01","30","","-5.0","","-9.2","","-7.1","","25.1","","0.0","","0.0","","0.0","T","0.0","T","7","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-01-31","1978","01","31","","-3.2","","-11.5","","-7.4","","25.4","","0.0","","0.0","","1.8","","0.8","","7","","34","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-02-01","1978","02","01","","-5.4","","-13.3","","-9.4","","27.4","","0.0","","0.0","","0.2","","0.2","","9","","33","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-02-02","1978","02","02","","-9.5","","-15.0","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","7","","30","","43",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-02-03","1978","02","03","","-9.4","","-17.6","","-13.5","","31.5","","0.0","","0.0","","0.0","T","0.0","T","6","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-02-04","1978","02","04","","-12.8","","-17.5","","-15.2","","33.2","","0.0","","0.0","","0.0","T","0.0","T","6","","31","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-02-05","1978","02","05","","-10.2","","-17.8","","-14.0","","32.0","","0.0","","0.0","","0.0","T","0.0","T","6","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-02-06","1978","02","06","","-4.3","","-18.7","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","T","6","","5","","39",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-02-07","1978","02","07","","-2.5","","-6.6","","-4.6","","22.6","","0.0","","0.0","","29.3","","40.7","","6","","4","","83",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-02-08","1978","02","08","","-2.5","","-13.8","","-8.2","","26.2","","0.0","","0.0","","4.7","","5.3","","39","","35","","80",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-02-09","1978","02","09","","-2.3","","-15.3","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","38","","31","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1978-02-10","1978","02","10","","-8.1","","-15.2","","-11.7","","29.7","","0.0","","0.0","","0.0","T","0.0","T","36","","35","","35",""
