"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-01","1999","01","01","","-8.5","","-18.3","","-13.4","","31.4","","0.0","","0.0","","3.1","","0.3","","0","T","32","E","52","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-02","1999","01","02","","-11.7","","-21.5","","-16.6","","34.6","","0.0","","0.0","","2.1","","0.8","","4","","31","E","57","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-03","1999","01","03","","4.0","","-15.6","","-5.8","","23.8","","0.0","","15.1","","0.0","T","15.1","","4","","13","E","63","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-04","1999","01","04","","8.7","","-3.2","","2.8","","15.2","","0.0","","18.1","","0.0","T","18.1","","0","","24","E","65","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-05","1999","01","05","","-2.9","","-12.8","","-7.9","","25.9","","0.0","","0.0","","0.0","T","0.0","T","0","T","30","E","33","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-06","1999","01","06","","-5.5","","-14.1","","-9.8","","27.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-07","1999","01","07","","2.4","","-12.2","","-4.9","","22.9","","0.0","","0.6","","3.5","","3.6","","0","","18","E","48","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-08","1999","01","08","","-7.2","","-13.8","","-10.5","","28.5","","0.0","","0.0","","0.0","T","0.0","T","2","","29","E","44","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-09","1999","01","09","","14.2","","-7.2","","3.5","","14.5","","0.0","","34.0","","6.1","","38.8","","3","","19","","104",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-10","1999","01","10","","10.6","","-6.5","","2.1","","15.9","","0.0","","1.8","","0.0","","1.8","","0","","23","E","46","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-11","1999","01","11","","-1.8","","-9.9","","-5.9","","23.9","","0.0","","0.0","","7.0","","5.7","","0","","30","","39",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-12","1999","01","12","","3.6","","-12.7","","-4.6","","22.6","","0.0","","1.4","","4.0","","1.8","","6","","21","","59",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-13","1999","01","13","","2.7","","-17.1","","-7.2","","25.2","","0.0","","0.4","","0.0","T","0.4","","1","","35","","61",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-14","1999","01","14","","-14.7","","-21.9","","-18.3","","36.3","","0.0","","0.0","","0.0","T","0.0","T","0","T","35","","39",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-15","1999","01","15","","7.4","","-16.5","","-4.6","","22.6","","0.0","","24.2","","0.0","T","24.2","","0","T","14","E","76","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-16","1999","01","16","","8.9","","-1.7","","3.6","","14.4","","0.0","","14.7","","0.0","T","14.7","","0","","16","E","67","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-17","1999","01","17","","7.2","","-0.6","","3.3","","14.7","","0.0","","0.0","","0.0","","0.0","","0","","29","E","59","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-18","1999","01","18","","5.7","","-3.2","","1.3","","16.7","","0.0","","0.0","","0.0","","0.0","","0","","14","E","50","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-19","1999","01","19","","9.2","","1.0","","5.1","","12.9","","0.0","","18.2","","0.0","","18.2","","0","","16","","80",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-20","1999","01","20","","5.9","","-2.2","","1.9","","16.1","","0.0","","0.0","","0.0","","0.0","","0","","24","","39",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-21","1999","01","21","","1.2","","-5.4","","-2.1","","20.1","","0.0","","0.0","","0.0","","0.0","","0","","29","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-22","1999","01","22","","1.1","","-8.3","","-3.6","","21.6","","0.0","","0.0","","0.2","","0.2","","0","T","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-23","1999","01","23","","2.6","","-6.9","","-2.2","","20.2","","0.0","","1.3","","0.0","T","1.3","","0","","15","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-24","1999","01","24","","13.6","","2.5","","8.1","","9.9","","0.0","","7.2","","0.0","","7.2","","0","","23","E","76","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-25","1999","01","25","","14.8","","-5.0","","4.9","","13.1","","0.0","","6.7","","0.0","","6.7","","0","","28","E","50","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-26","1999","01","26","","-4.2","","-9.8","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","0","","32","E","33","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-27","1999","01","27","","0.5","","-9.1","","-4.3","","22.3","","0.0","","0.0","","1.2","","0.6","","0","","29","E","35","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-28","1999","01","28","","-9.0","","-15.2","","-12.1","","30.1","","0.0","","0.0","","0.0","","0.0","","0","T","32","E","32","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-29","1999","01","29","","-8.9","","-16.3","","-12.6","","30.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","36","E","35","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-30","1999","01","30","","-7.9","","-14.0","","-11.0","","29.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","35","E","44","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-01-31","1999","01","31","","-7.0","","-14.4","","-10.7","","28.7","","0.0","","0.0","","0.0","T","0.0","T","0","T","34","E","33","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-01","1999","02","01","","0.4","","-7.7","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","0","","33","E","44","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-02","1999","02","02","","0.1","","-10.4","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","0","","15","E","46","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-03","1999","02","03","","7.0","","-2.1","","2.5","","15.5","","0.0","","37.4","","0.0","T","37.4","","0","","14","E","78","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-04","1999","02","04","","6.1","","-1.5","","2.3","","15.7","","0.0","","0.0","","0.0","","0.0","","0","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-05","1999","02","05","","-1.4","","-2.0","","-1.7","","19.7","","0.0","","0.6","","2.0","","2.6","","0","","35","","63",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-06","1999","02","06","","-0.9","","-3.2","","-2.1","","20.1","","0.0","","0.4","","1.4","","1.8","","2","","35","","39",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-07","1999","02","07","","-1.0","","-7.0","","-4.0","","22.0","","0.0","","0.0","","0.0","","0.0","","2","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-08","1999","02","08","","-2.4","","-9.7","","-6.1","","24.1","","0.0","","0.0","","0.0","","0.0","","2","","30","E","32","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-09","1999","02","09","","2.0","","-11.6","","-4.8","","22.8","","0.0","","0.0","T","0.0","T","0.0","T","2","","19","E","37","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-10","1999","02","10","","5.3","","-2.3","","1.5","","16.5","","0.0","","0.0","T","0.0","T","0.0","T","2","","30","E","37","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-11","1999","02","11","","-2.2","","-7.9","","-5.1","","23.1","","0.0","","0.0","","0.0","T","0.0","T","1","","32","E","39","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-12","1999","02","12","","7.4","","-7.9","","-0.3","","18.3","","0.0","","0.0","T","0.0","","0.0","T","1","","19","","44",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-13","1999","02","13","","13.8","","-0.8","","6.5","","11.5","","0.0","","2.0","","0.0","","2.0","","0","","22","E","70","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-14","1999","02","14","","-0.2","","-2.4","","-1.3","","19.3","","0.0","","0.0","","1.6","","0.9","","0","","36","E","39","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-15","1999","02","15","","-0.1","","-8.1","","-4.1","","22.1","","0.0","","0.0","","0.0","T","0.0","T","2","","35","E","41","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1999-02-16","1999","02","16","","2.8","","-8.7","","-3.0","","21.0","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
