"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-01","2001","01","01","","1.5","","-4.2","","-1.4","","19.4","","0.0","","0.0","","0.0","T","0.0","T","13","","32","E","52","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-02","2001","01","02","","-1.4","","-6.8","","-4.1","","22.1","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-03","2001","01","03","","-3.6","","-10.1","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-04","2001","01","04","","0.0","","-9.5","","-4.8","","22.8","","0.0","","0.0","","4.0","","4.0","","6","","18","E","33","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-05","2001","01","05","","-3.0","","-9.0","","-6.0","","24.0","","0.0","","0.0","","0.4","","0.4","","9","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-06","2001","01","06","","0.7","","-7.9","","-3.6","","21.6","","0.0","","15.6","","4.9","","20.5","","9","","8","E","48","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-07","2001","01","07","","-0.2","","-3.6","","-1.9","","19.9","","0.0","","1.0","","5.6","","6.6","","14","","32","E","44","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-08","2001","01","08","","-1.2","","-4.5","","-2.9","","20.9","","0.0","","0.0","","0.2","","0.2","","15","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-09","2001","01","09","","-3.2","","-6.0","","-4.6","","22.6","","0.0","","0.0","","1.8","","1.3","","15","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-10","2001","01","10","","-5.3","","-11.0","","-8.2","","26.2","","0.0","","0.0","","3.2","","2.4","","14","","35","E","41","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-11","2001","01","11","","-9.7","","-10.7","","-10.2","","28.2","","0.0","","0.0","","1.1","","1.1","","16","","33","E","37","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-12","2001","01","12","","-6.4","","-13.0","","-9.7","","27.7","","0.0","","0.0","","1.0","","0.4","","16","","34","E","39","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-13","2001","01","13","","-6.5","","-15.7","","-11.1","","29.1","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-14","2001","01","14","","0.3","","-11.2","","-5.5","","23.5","","0.0","","0.0","","0.0","T","0.0","T","10","","36","E","32","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-15","2001","01","15","","-4.1","","-14.5","","-9.3","","27.3","","0.0","","0.0","","1.0","","0.3","","8","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-16","2001","01","16","","-0.5","","-4.8","","-2.7","","20.7","","0.0","","0.7","","18.6","","10.8","","20","","6","E","39","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-17","2001","01","17","","-2.2","","-8.0","","-5.1","","23.1","","0.0","","0.0","","3.4","","2.0","","25","","36","E","35","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-18","2001","01","18","","-6.3","","-12.2","","-9.3","","27.3","","0.0","","0.0","","0.0","T","0.0","T","27","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-19","2001","01","19","","-2.3","","-12.6","","-7.5","","25.5","","0.0","","0.0","","8.8","","5.4","","24","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-20","2001","01","20","","-1.8","","-10.5","","-6.2","","24.2","","0.0","","0.0","","3.0","","3.0","","28","","32","E","35","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-21","2001","01","21","","-6.3","","-11.2","","-8.8","","26.8","","0.0","","0.0","","31.8","","27.6","","27","","34","E","59","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-22","2001","01","22","","-8.4","","-14.5","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","T","56","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-23","2001","01","23","","-1.1","","-14.1","","-7.6","","25.6","","0.0","","0.0","","0.2","","0.2","","54","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-24","2001","01","24","","0.8","","-6.3","","-2.8","","20.8","","0.0","","0.2","","0.0","T","0.2","","43","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-25","2001","01","25","","-1.1","","-11.2","","-6.2","","24.2","","0.0","","0.0","","0.0","T","0.0","T","35","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-26","2001","01","26","","0.1","","-13.4","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","30","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-27","2001","01","27","","-2.3","","-15.4","","-8.9","","26.9","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-28","2001","01","28","","-2.7","","-8.6","","-5.7","","23.7","","0.0","","0.0","","3.4","","3.4","","25","","35","E","32","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-29","2001","01","29","","-5.4","","-11.3","","-8.4","","26.4","","0.0","","0.0","","0.0","T","0.0","T","28","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-30","2001","01","30","","1.2","","-9.0","","-3.9","","21.9","","0.0","","5.2","","5.2","","10.4","","28","","23","E","32","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-01-31","2001","01","31","","0.7","","-10.0","","-4.7","","22.7","","0.0","","1.2","","7.8","","9.0","","29","","1","E","41","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-01","2001","02","01","","-5.5","","-10.1","","-7.8","","25.8","","0.0","","0.0","","9.6","","4.5","","44","","3","E","32","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-02","2001","02","02","","-1.3","","-6.6","","-4.0","","22.0","","0.0","","0.0","","7.3","","5.4","","42","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-03","2001","02","03","","-2.4","","-11.1","","-6.8","","24.8","","0.0","","0.0","","12.4","","10.4","","55","","1","E","37","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-04","2001","02","04","","-3.9","","-13.6","","-8.8","","26.8","","0.0","","0.0","","0.0","T","0.0","T","61","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-05","2001","02","05","","-1.0","","-9.4","","-5.2","","23.2","","0.0","","0.0","T","3.2","","3.2","","60","","10","E","59","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-06","2001","02","06","","2.6","","-4.1","","-0.8","","18.8","","0.0","","18.4","","2.6","","20.6","","50","","11","E","74","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-07","2001","02","07","","-0.8","","-6.8","","-3.8","","21.8","","0.0","","0.0","","3.8","","3.2","","41","","28","E","48","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-08","2001","02","08","","-0.3","","-6.9","","-3.6","","21.6","","0.0","","0.0","","0.4","","0.2","","42","","32","E","46","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-09","2001","02","09","","0.3","","-11.2","","-5.5","","23.5","","0.0","","1.0","","4.3","","5.3","","35","","15","E","41","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-10","2001","02","10","","7.3","","-7.7","","-0.2","","18.2","","0.0","","1.0","","0.0","","1.0","","35","","27","E","78","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-11","2001","02","11","","-7.7","","-14.6","","-11.2","","29.2","","0.0","","0.0","","0.2","","0.2","","24","","30","E","69","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-12","2001","02","12","","-6.1","","-13.0","","-9.6","","27.6","","0.0","","0.0","","0.0","","0.0","","24","","32","E","33","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-13","2001","02","13","","-1.2","","-10.5","","-5.9","","23.9","","0.0","","0.0","","3.2","","1.7","","23","","19","E","32","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-14","2001","02","14","","0.4","","-12.7","","-6.2","","24.2","","0.0","","0.0","T","0.4","","0.4","","23","","15","E","33","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-15","2001","02","15","","0.2","","-11.2","","-5.5","","23.5","","0.0","","0.0","","0.0","","0.0","","14","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-16","2001","02","16","","4.5","","-8.1","","-1.8","","19.8","","0.0","","11.6","","0.4","","12.0","","15","","33","E","70","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-17","2001","02","17","","-0.2","","-8.7","","-4.5","","22.5","","0.0","","0.0","","17.8","","9.8","","19","","32","E","56","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-18","2001","02","18","","-8.7","","-14.4","","-11.6","","29.6","","0.0","","0.0","","1.0","","1.0","","28","","33","E","35","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-19","2001","02","19","","0.7","","-12.8","","-6.1","","24.1","","0.0","","0.0","","0.9","","0.9","","27","","20","E","52","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-20","2001","02","20","","4.4","","0.1","","2.3","","15.7","","0.0","","0.0","","0.0","T","0.0","T","26","","21","E","48","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-21","2001","02","21","","5.0","","-11.9","","-3.5","","21.5","","0.0","","0.0","T","0.0","T","0.0","T","20","","31","E","52","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-22","2001","02","22","","-11.9","","-17.5","","-14.7","","32.7","","0.0","","0.0","","0.7","","0.7","","17","","30","E","59","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-23","2001","02","23","","-8.3","","-17.7","","-13.0","","31.0","","0.0","","0.0","","0.8","","0.8","","17","","33","E","35","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-24","2001","02","24","","-5.6","","-12.8","","-9.2","","27.2","","0.0","","0.0","","0.0","T","0.0","T","17","","33","E","56","E"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","2001-02-25","2001","02","25","","-3.5","","-15.7","","-9.6","","27.6","","0.0","","0.0","","0.0","","0.0","","17","","","","<31",""
