"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-01","1987","01","01","","0.9","","-8.1","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","7","","33","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-02","1987","01","02","","2.2","","-5.1","","-1.5","","19.5","","0.0","","26.8","","10.6","","26.8","","4","","6","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-03","1987","01","03","","5.1","","0.0","","2.6","","15.4","","0.0","","4.6","","2.2","","7.4","","4","","7","","31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-04","1987","01","04","","0.0","","-4.9","","-2.5","","20.5","","0.0","","0.0","","0.0","T","0.0","T","3","","32","","50",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-05","1987","01","05","","-2.4","","-8.1","","-5.3","","23.3","","0.0","","0.0","","0.0","","0.0","","3","","32","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-06","1987","01","06","","-1.6","","-10.4","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","3","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-07","1987","01","07","","4.0","","-4.2","","-0.1","","18.1","","0.0","","0.8","","0.0","","0.8","","3","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-08","1987","01","08","","1.4","","-5.0","","-1.8","","19.8","","0.0","","0.0","T","0.8","","0.8","","2","","30","","44",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-09","1987","01","09","","-3.6","","-8.7","","-6.2","","24.2","","0.0","","0.0","","0.0","T","0.0","T","2","","32","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-10","1987","01","10","","-0.8","","-10.3","","-5.6","","23.6","","0.0","","0.0","","0.4","","0.4","","2","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-11","1987","01","11","","1.8","","-1.4","","0.2","","17.8","","0.0","","15.8","","7.8","","23.6","","5","","9","","70",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-12","1987","01","12","","0.5","","-6.2","","-2.9","","20.9","","0.0","","0.0","","4.8","","4.2","","4","","28","","59",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-13","1987","01","13","","-2.8","","-8.0","","-5.4","","23.4","","0.0","","0.0","","0.0","","0.0","","8","","30","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-14","1987","01","14","","-1.6","","-9.1","","-5.4","","23.4","","0.0","","0.0","","0.0","","0.0","","7","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-15","1987","01","15","","3.0","","-3.5","","-0.3","","18.3","","0.0","","0.0","","0.0","T","0.0","T","6","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-16","1987","01","16","","0.7","","-11.3","","-5.3","","23.3","","0.0","","0.0","","2.0","","1.7","","6","","29","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-17","1987","01","17","","-10.5","","-15.6","","-13.1","","31.1","","0.0","","0.0","","0.0","T","0.0","T","6","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-18","1987","01","18","","-0.2","","-17.3","","-8.8","","26.8","","0.0","","0.0","","2.8","","2.8","","6","","15","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-19","1987","01","19","","0.8","","-9.7","","-4.5","","22.5","","0.0","","7.6","","3.2","","10.8","","11","","31","","35",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-20","1987","01","20","","-8.5","","-14.0","","-11.3","","29.3","","0.0","","0.0","","0.7","","0.2","","10","","34","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-21","1987","01","21","","-5.0","","-15.5","","-10.3","","28.3","","0.0","","0.0","","1.8","","1.2","","10","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-22","1987","01","22","","-2.4","","-14.6","","-8.5","","26.5","","0.0","","0.0","","5.2","","3.6","","11","","11","","63",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-23","1987","01","23","","5.4","","-2.4","","1.5","","16.5","","0.0","","28.0","","2.0","","30.2","","12","","12","","104",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-24","1987","01","24","","-0.7","","-13.3","","-7.0","","25.0","","0.0","","0.0","","1.9","","1.2","","7","","27","","69",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-25","1987","01","25","","-11.0","","-15.3","","-13.2","","31.2","","0.0","","0.0","","0.0","T","0.0","T","8","","27","","41",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-26","1987","01","26","","-11.4","","-17.4","","-14.4","","32.4","","0.0","","0.0","","19.2","","19.2","","7","","36","","46",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-27","1987","01","27","","-9.0","","-17.7","","-13.4","","31.4","","0.0","","0.0","","1.8","","1.2","","28","","35","","41",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-28","1987","01","28","","-7.8","","-18.8","","-13.3","","31.3","","0.0","","0.0","","0.2","","0.2","","26","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1987-01-29","1987","01","29","","-6.4","","-18.3","","-12.4","","30.4","","0.0","","0.0","","0.0","","0.0","","26","","","","<31",""
