"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1991-01-01","1991","01","01","","-7.9","","-16.3","","-12.1","","30.1","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1991-01-02","1991","01","02","","1.9","","-9.7","","-3.9","","21.9","","0.0","","0.0","","1.0","","1.0","","1","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1991-01-03","1991","01","03","","-1.1","","-12.8","","-7.0","","25.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1991-01-04","1991","01","04","","-3.8","","-13.5","","-8.7","","26.7","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1991-01-05","1991","01","05","","-0.7","","-7.6","","-4.2","","22.2","","0.0","","0.0","","2.0","","0.6","","1","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1991-01-06","1991","01","06","","-1.1","","-6.7","","-3.9","","21.9","","0.0","","0.0","","2.4","","1.8","","3","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1991-01-07","1991","01","07","","-4.8","","-19.6","","-12.2","","30.2","","0.0","","0.0","","0.2","","0.2","","4","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1991-01-08","1991","01","08","","-14.8","","-22.0","","-18.4","","36.4","","0.0","","0.0","","0.0","","0.0","","4","","34","","35",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1991-01-09","1991","01","09","","-0.3","","-18.9","","-9.6","","27.6","","0.0","","0.0","","2.5","","2.5","","4","","15","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1991-01-10","1991","01","10","","1.4","","-17.4","","-8.0","","26.0","","0.0","","5.6","","2.6","","8.2","","5","","31","","63",""
