"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1969-01-01","1969","01","01","","6.1","","-7.8","","-0.9","","18.9","","0.0","","51.1","","6.4","","57.4","","5","","14","","93",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1969-01-02","1969","01","02","","-6.1","","-11.1","","-8.6","","26.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","23","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1969-01-03","1969","01","03","","-4.4","","-12.2","","-8.3","","26.3","","0.0","","0.0","","0.0","T","0.0","T","0","T","23","","43",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1969-01-04","1969","01","04","","-3.3","","-8.3","","-5.8","","23.8","","0.0","","0.0","","4.6","","4.6","","3","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1969-01-05","1969","01","05","","-6.7","","-12.2","","-9.5","","27.5","","0.0","","0.0","","0.0","T","0.0","T","5","","36","","42",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1969-01-06","1969","01","06","","-2.2","","-11.7","","-7.0","","25.0","","0.0","","0.0","","0.0","","0.0","","5","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1969-01-07","1969","01","07","","3.3","","-8.9","","-2.8","","20.8","","0.0","","55.6","","3.3","","58.9","","5","","11","","97",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1969-01-08","1969","01","08","","2.8","","-2.8","","0.0","","18.0","","0.0","","1.5","","3.8","","5.3","","5","","23","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1969-01-09","1969","01","09","","-1.1","","-2.8","","-2.0","","20.0","","0.0","","0.0","","0.5","","0.5","","8","","29","","45",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1969-01-10","1969","01","10","","-0.6","","-6.1","","-3.4","","21.4","","0.0","","0.0","","2.0","","2.0","","8","","29","","42",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1969-01-11","1969","01","11","","-3.3","","-13.3","","-8.3","","26.3","","0.0","","0.0","","0.5","","0.5","","8","","29","","40",""
