"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-01","1993","01","01","","0.1","","-9.9","","-4.9","","22.9","","0.0","","0.0","T","0.4","","0.4","","4","","","","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-02","1993","01","02","","-9.9","","-17.1","","-13.5","","31.5","","0.0","","0.0","","0.6","","0.6","","4","","","","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-03","1993","01","03","","-5.9","","-18.3","","-12.1","","30.1","","0.0","","0.0","","0.0","","0.0","","5","","","M","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-04","1993","01","04","","7.5","","-5.9","","0.8","","17.2","","0.0","","2.7","","0.5","","3.2","","5","","","","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-05","1993","01","05","","10.3","","-2.5","","3.9","","14.1","","0.0","","10.9","","0.0","","10.9","","0","T","","","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-06","1993","01","06","","-2.2","","-5.1","","-3.7","","21.7","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-07","1993","01","07","","1.7","","-3.9","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","0","T","","M","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-08","1993","01","08","","1.9","","-6.0","","-2.1","","20.1","","0.0","","0.0","T","2.0","","2.0","","0","","","M","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-09","1993","01","09","","-6.0","","-16.2","","-11.1","","29.1","","0.0","","0.0","","0.4","","0.4","","1","","","M","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-10","1993","01","10","","-10.8","","-17.1","","-14.0","","32.0","","0.0","","0.0","","0.0","","0.0","","0","T","","M","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-11","1993","01","11","","-3.6","","-12.5","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","0","T","","M","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-12","1993","01","12","","-2.6","","-13.2","","-7.9","","25.9","","0.0","","0.0","","0.0","","0.0","","0","","","M","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-13","1993","01","13","","-8.0","","-13.4","","-10.7","","28.7","","0.0","","0.0","","0.0","T","0.0","T","0","","","M","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-14","1993","01","14","","-9.5","","-17.3","","-13.4","","31.4","","0.0","","0.0","","1.4","","1.4","","0","T","","","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-15","1993","01","15","","-5.7","","-17.3","","-11.5","","29.5","","0.0","","0.0","","1.5","","1.5","","0","T","","M","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-16","1993","01","16","","-1.7","","-9.6","","-5.7","","23.7","","0.0","","0.0","","2.4","","1.2","","2","","","M","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-17","1993","01","17","","-3.4","","-10.7","","-7.1","","25.1","","0.0","","0.0","","0.6","","0.6","","2","","","M","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-18","1993","01","18","","-1.5","","-12.1","","-6.8","","24.8","","0.0","","0.0","","0.4","","0.2","","2","","","","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-19","1993","01","19","","-12.1","","-18.7","","-15.4","","33.4","","0.0","","0.0","","1.0","","1.0","","0","T","","","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-20","1993","01","20","","-6.7","","-18.6","","-12.7","","30.7","","0.0","","0.0","","0.2","","0.2","","1","","","M","",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1993-01-21","1993","01","21","","-4.4","","-17.0","","-10.7","","28.7","","0.0","","0.0","","0.0","","0.0","","0","T","","M","",""
