"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1997-01-01","1997","01","01","","-9.2","","-17.1","","-13.2","","31.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","30","","63",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1997-01-02","1997","01","02","","-0.2","","-10.5","","-5.4","","23.4","","0.0","","0.0","","4.3","","2.8","","0","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1997-01-03","1997","01","03","","-5.0","","-7.9","","-6.5","","24.5","","0.0","","0.0","","6.2","","5.3","","4","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1997-01-04","1997","01","04","","-4.6","","-9.1","","-6.9","","24.9","","0.0","","0.0","","0.0","T","0.0","T","8","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1997-01-05","1997","01","05","","-0.3","","-9.2","","-4.8","","22.8","","0.0","","7.2","","0.0","","7.2","","7","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1997-01-06","1997","01","06","","1.1","","-0.7","","0.2","","17.8","","0.0","","1.0","","0.2","","1.2","","4","","26","","41",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1997-01-07","1997","01","07","","-0.7","","-8.8","","-4.8","","22.8","","0.0","","0.0","","0.4","","0.4","","4","","25","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1997-01-08","1997","01","08","","-5.7","","-9.7","","-7.7","","25.7","","0.0","","0.0","","0.6","","0.6","","4","","29","","59",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1997-01-09","1997","01","09","","-0.7","","-6.5","","-3.6","","21.6","","0.0","","0.0","","0.0","T","0.0","T","4","","30","","52",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1997-01-10","1997","01","10","","4.8","","-5.0","","-0.1","","18.1","","0.0","","8.2","","0.4","","8.6","","4","","13","","65",""
