"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-01","1992","01","01","","-4.3","","-12.3","","-8.3","","26.3","","0.0","","0.0","","0.0","T","0.0","T","21","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-02","1992","01","02","","-0.7","","-15.0","","-7.9","","25.9","","0.0","","0.0","","0.5","","0.5","","18","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-03","1992","01","03","","2.6","","-5.6","","-1.5","","19.5","","0.0","","0.0","T","0.0","","0.0","T","17","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-04","1992","01","04","","0.8","","-7.9","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","14","","14","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-05","1992","01","05","","9.9","","0.8","","5.4","","12.6","","0.0","","52.8","","0.0","","52.8","","13","","14","","74",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-06","1992","01","06","","8.6","","0.8","","4.7","","13.3","","0.0","","10.6","","0.0","","10.6","","0","T","27","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-07","1992","01","07","","2.8","","-1.0","","0.9","","17.1","","0.0","","0.0","T","0.0","T","0.0","T","0","","27","","35",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-08","1992","01","08","","-0.9","","-6.4","","-3.7","","21.7","","0.0","","0.0","","0.2","","0.2","","0","","36","","61",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-09","1992","01","09","","-3.6","","-6.5","","-5.1","","23.1","","0.0","","0.0","","0.2","","0.0","T","0","T","2","","46",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-10","1992","01","10","","0.5","","-4.2","","-1.9","","19.9","","0.0","","0.0","T","5.0","","4.4","","2","","34","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-11","1992","01","11","","-4.1","","-15.6","","-9.9","","27.9","","0.0","","0.0","","3.7","","1.6","","5","","33","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-12","1992","01","12","","-10.0","","-15.8","","-12.9","","30.9","","0.0","","0.0","","0.0","T","0.0","T","8","","34","","52",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-13","1992","01","13","","1.4","","-12.2","","-5.4","","23.4","","0.0","","0.2","","0.3","","0.5","","8","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-14","1992","01","14","","8.7","","-0.3","","4.2","","13.8","","0.0","","25.0","","0.0","","25.0","","3","","15","","67",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-15","1992","01","15","","7.7","","-11.2","","-1.8","","19.8","","0.0","","0.2","","0.0","T","0.2","","0","","22","","74",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-16","1992","01","16","","-8.3","","-16.8","","-12.6","","30.6","","0.0","","0.0","","0.0","","0.0","","0","","27","","50",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-17","1992","01","17","","-13.0","","-19.5","","-16.3","","34.3","","0.0","","0.0","","0.0","T","0.0","T","0","T","30","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-18","1992","01","18","","-7.1","","-15.3","","-11.2","","29.2","","0.0","","0.0","","0.6","","0.2","","0","T","30","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-19","1992","01","19","","-13.4","","-17.0","","-15.2","","33.2","","0.0","","0.0","","0.0","T","0.0","T","0","T","29","","41",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-20","1992","01","20","","-10.4","","-17.5","","-14.0","","32.0","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-21","1992","01","21","","-12.4","","-19.1","","-15.8","","33.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-22","1992","01","22","","-12.9","","-18.6","","-15.8","","33.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","35","","57",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-23","1992","01","23","","6.2","","-18.7","","-6.3","","24.3","","0.0","","5.0","","0.0","","5.0","","0","T","18","","78",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-24","1992","01","24","","10.1","","-0.5","","4.8","","13.2","","0.0","","31.7","","0.0","","31.7","","0","","19","","111",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-25","1992","01","25","","-0.3","","-17.0","","-8.7","","26.7","","0.0","","0.0","","0.0","T","0.0","T","0","T","31","","52",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-26","1992","01","26","","-12.3","","-18.8","","-15.6","","33.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","35","","39",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-27","1992","01","27","","-10.7","","-20.2","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-28","1992","01","28","","-8.1","","-18.4","","-13.3","","31.3","","0.0","","0.0","","0.0","","0.0","","0","T","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-29","1992","01","29","","0.2","","-9.8","","-4.8","","22.8","","0.0","","0.0","","0.0","T","0.0","T","0","T","23","","41",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-30","1992","01","30","","-1.7","","-6.7","","-4.2","","22.2","","0.0","","0.0","","1.4","","1.4","","0","T","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-01-31","1992","01","31","","-0.2","","-6.1","","-3.2","","21.2","","0.0","","2.4","","4.7","","7.1","","1","","12","","50",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-01","1992","02","01","","-1.0","","-8.1","","-4.6","","22.6","","0.0","","1.8","","30.0","","31.8","","2","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-02","1992","02","02","","0.1","","-5.5","","-2.7","","20.7","","0.0","","0.0","","13.4","","12.4","","37","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-03","1992","02","03","","-4.6","","-6.5","","-5.6","","23.6","","0.0","","0.0","","3.5","","3.3","","45","","35","","52",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-04","1992","02","04","","-5.7","","-11.2","","-8.5","","26.5","","0.0","","0.0","","0.2","","0.2","","47","","35","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-05","1992","02","05","","-5.3","","-11.0","","-8.2","","26.2","","0.0","","0.0","","21.0","","14.6","","47","","36","","46",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-06","1992","02","06","","-5.6","","-16.3","","-11.0","","29.0","","0.0","","0.0","","0.0","T","0.0","T","57","","34","","44",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-07","1992","02","07","","-7.2","","-19.6","","-13.4","","31.4","","0.0","","0.0","","0.0","T","0.0","T","55","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-08","1992","02","08","","-5.6","","-9.6","","-7.6","","25.6","","0.0","","0.0","","8.4","","6.5","","53","","2","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-09","1992","02","09","","-2.8","","-8.0","","-5.4","","23.4","","0.0","","0.0","","3.0","","3.0","","61","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-10","1992","02","10","","-7.9","","-16.1","","-12.0","","30.0","","0.0","","0.0","","1.4","","1.4","","63","","29","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-11","1992","02","11","","1.1","","-15.3","","-7.1","","25.1","","0.0","","0.0","","1.0","","0.6","","61","","21","","54",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-12","1992","02","12","","0.1","","-21.3","","-10.6","","28.6","","0.0","","0.0","","3.8","","3.3","","60","","32","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-13","1992","02","13","","-2.4","","-20.7","","-11.6","","29.6","","0.0","","0.0","","0.0","T","0.0","T","59","","24","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1992-02-14","1992","02","14","","-0.3","","-11.9","","-6.1","","24.1","","0.0","","0.0","","10.0","","8.0","","60","","35","","41",""
