"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1966-01-01","1966","01","01","","5.6","","1.1","","3.4","","14.6","","0.0","","1.5","","0.0","","1.5","","0","T","29","","40",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1966-01-02","1966","01","02","","2.2","","-9.4","","-3.6","","21.6","","0.0","","0.0","","1.0","","1.0","","0","T","32","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1966-01-03","1966","01","03","","3.3","","-9.4","","-3.1","","21.1","","0.0","","2.0","","2.3","","4.3","","0","T","11","","64",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1966-01-04","1966","01","04","","0.6","","-6.1","","-2.8","","20.8","","0.0","","0.0","","0.0","T","0.0","T","3","","27","","77",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1966-01-05","1966","01","05","","-2.8","","-12.2","","-7.5","","25.5","","0.0","","0.0","","0.0","","0.0","","3","","29","","45",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1966-01-06","1966","01","06","","-4.4","","-13.3","","-8.9","","26.9","","0.0","","0.0","","12.7","","12.7","","3","","9","","45",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1966-01-07","1966","01","07","","-1.1","","-5.6","","-3.4","","21.4","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1966-01-08","1966","01","08","","-2.2","","-7.2","","-4.7","","22.7","","0.0","","0.0","","3.6","","3.6","","13","","36","","45",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1966-01-09","1966","01","09","","-4.4","","-11.7","","-8.1","","26.1","","0.0","","0.0","","5.1","","5.1","","20","","34","","87",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1966-01-10","1966","01","10","","0.6","","-15.0","","-7.2","","25.2","","0.0","","0.0","","0.0","","0.0","","20","","18","","37",""
