"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-01","1961","01","01","","4.4","","-5.6","","-0.6","","18.6","","0.0","","24.1","","7.9","","32.0","","5","","9","","84",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-02","1961","01","02","","3.9","","-3.9","","0.0","","18.0","","0.0","","0.5","","0.0","T","0.5","","8","","9","","101",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-03","1961","01","03","","-1.1","","-6.7","","-3.9","","21.9","","0.0","","0.0","","4.1","","4.1","","8","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-04","1961","01","04","","-3.9","","-7.2","","-5.6","","23.6","","0.0","","0.0","","43.7","","43.7","","8","","34","","68",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-05","1961","01","05","","-7.8","","-10.6","","-9.2","","27.2","","0.0","","0.0","","0.5","","0.5","","46","","27","","60",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-06","1961","01","06","","2.8","","-12.8","","-5.0","","23.0","","0.0","","5.6","","1.3","","6.9","","41","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-07","1961","01","07","","1.7","","-3.3","","-0.8","","18.8","","0.0","","0.0","","0.0","T","0.0","T","33","","16","S","40",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-08","1961","01","08","","3.3","","-3.3","","0.0","","18.0","","0.0","","2.3","","0.0","T","2.3","","25","","11","","55",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-09","1961","01","09","","-2.2","","-6.7","","-4.5","","22.5","","0.0","","0.0","","1.3","","1.3","","15","","32","","53",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-10","1961","01","10","","-8.9","","-13.9","","-11.4","","29.4","","0.0","","0.0","","0.0","","0.0","","15","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-11","1961","01","11","","2.2","","-15.6","","-6.7","","24.7","","0.0","","0.0","","0.0","","0.0","","13","","20","","60",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-12","1961","01","12","","-1.7","","-12.8","","-7.3","","25.3","","0.0","","0.0","","0.0","T","0.0","T","10","","27","","53",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-13","1961","01","13","","2.2","","-15.6","","-6.7","","24.7","","0.0","","0.0","T","1.0","","1.0","","10","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1961-01-14","1961","01","14","","5.6","","-9.4","","-1.9","","19.9","","0.0","","0.0","T","0.0","","0.0","T","10","","20","","51",""
