"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-01","1985","01","01","","-6.0","","-8.8","","-7.4","","25.4","","0.0","","1.0","","6.2","","6.4","","0","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-02","1985","01","02","","2.4","","-6.2","","-1.9","","19.9","","0.0","","2.2","","2.6","","4.8","","6","","13","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-03","1985","01","03","","-1.0","","-9.4","","-5.2","","23.2","","0.0","","0.0","","0.0","","0.0","","2","","30","","50",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-04","1985","01","04","","-5.0","","-11.3","","-8.2","","26.2","","0.0","","0.0","","0.0","","0.0","","1","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-05","1985","01","05","","-1.6","","-8.7","","-5.2","","23.2","","0.0","","0.0","T","16.5","","16.2","","2","","35","","93",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-06","1985","01","06","","-8.6","","-14.9","","-11.8","","29.8","","0.0","","0.0","","0.0","T","0.0","T","17","","28","","72",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-07","1985","01","07","","-8.7","","-16.1","","-12.4","","30.4","","0.0","","0.0","","0.0","T","0.0","T","17","","27","","54",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-08","1985","01","08","","-9.0","","-16.3","","-12.7","","30.7","","0.0","","0.0","","0.2","","0.2","","17","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-09","1985","01","09","","-11.4","","-14.4","","-12.9","","30.9","","0.0","","0.0","","1.2","","1.2","","17","","28","","63",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-10","1985","01","10","","-6.1","","-13.8","","-10.0","","28.0","","0.0","","0.0","","0.2","","0.2","","16","","30","","52",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-11","1985","01","11","","-8.0","","-14.6","","-11.3","","29.3","","0.0","","0.0","","0.0","T","0.0","T","15","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-12","1985","01","12","","-9.2","","-15.6","","-12.4","","30.4","","0.0","","0.0","","0.0","T","0.0","T","15","","31","","43",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-13","1985","01","13","","-6.7","","-14.4","","-10.6","","28.6","","0.0","","0.0","","0.0","","0.0","","14","","31","","41",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-14","1985","01","14","","1.2","","-12.6","","-5.7","","23.7","","0.0","","0.0","","0.0","","0.0","","13","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-15","1985","01","15","","1.2","","-5.4","","-2.1","","20.1","","0.0","","0.0","","9.0","","9.0","","11","","29","","74",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-16","1985","01","16","","-5.4","","-15.1","","-10.3","","28.3","","0.0","","0.0","","3.0","","2.6","","21","","28","","67",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-17","1985","01","17","","-10.5","","-15.8","","-13.2","","31.2","","0.0","","0.0","","0.0","T","0.0","T","22","","29","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-18","1985","01","18","","-8.8","","-17.9","","-13.4","","31.4","","0.0","","0.0","","0.0","","0.0","","22","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-19","1985","01","19","","-3.2","","-16.1","","-9.7","","27.7","","0.0","","0.0","","0.2","","0.2","","20","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-20","1985","01","20","","-0.5","","-5.8","","-3.2","","21.2","","0.0","","0.0","","13.8","","12.6","","21","","26","","72",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-21","1985","01","21","","-3.3","","-12.4","","-7.9","","25.9","","0.0","","0.0","","1.8","","2.0","","33","","23","","70",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-22","1985","01","22","","-5.3","","-15.3","","-10.3","","28.3","","0.0","","0.0","","0.0","T","0.0","T","33","","25","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-23","1985","01","23","","-2.3","","-9.2","","-5.8","","23.8","","0.0","","0.0","","0.4","","0.4","","32","","26","","57",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-24","1985","01","24","","-1.0","","-10.2","","-5.6","","23.6","","0.0","","0.0","","0.4","","0.4","","31","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-25","1985","01","25","","0.1","","-8.9","","-4.4","","22.4","","0.0","","0.0","","0.2","","0.2","","30","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-26","1985","01","26","","-4.5","","-12.3","","-8.4","","26.4","","0.0","","0.0","","9.3","","8.3","","25","","33","","50",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-27","1985","01","27","","-8.3","","-14.6","","-11.5","","29.5","","0.0","","0.0","","0.0","T","0.0","T","32","","27","","52",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-28","1985","01","28","","-4.0","","-12.2","","-8.1","","26.1","","0.0","","0.0","","0.0","","0.0","","30","","28","","46",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-29","1985","01","29","","-3.5","","-12.3","","-7.9","","25.9","","0.0","","0.0","","0.0","","0.0","","28","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-30","1985","01","30","","-5.6","","-12.8","","-9.2","","27.2","","0.0","","0.0","","0.0","T","0.0","T","26","","32","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-01-31","1985","01","31","","-3.6","","-14.0","","-8.8","","26.8","","0.0","","0.0","","0.0","","0.0","","26","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-02-01","1985","02","01","","-1.8","","-14.7","","-8.3","","26.3","","0.0","","0.0","","1.0","","0.8","","23","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-02-02","1985","02","02","","-0.4","","-4.0","","-2.2","","20.2","","0.0","","0.0","","16.5","","15.3","","26","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-02-03","1985","02","03","","-3.6","","-16.5","","-10.1","","28.1","","0.0","","0.0","","4.0","","3.4","","37","","34","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-02-04","1985","02","04","","-8.1","","-19.6","","-13.9","","31.9","","0.0","","0.0","","1.3","","0.7","","37","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-02-05","1985","02","05","","-10.2","","-19.9","","-15.1","","33.1","","0.0","","0.0","","0.2","","0.2","","36","","31","","43",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-02-06","1985","02","06","","-15.2","","-22.3","","-18.8","","36.8","","0.0","","0.0","","0.0","","0.0","","34","","31","","31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-02-07","1985","02","07","","-10.2","","-20.8","","-15.5","","33.5","","0.0","","0.0","","0.0","","0.0","","34","","30","","44",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-02-08","1985","02","08","","-13.2","","-18.7","","-16.0","","34.0","","0.0","","0.0","","0.0","T","0.0","T","33","","28","","43",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-02-09","1985","02","09","","1.2","","-16.0","","-7.4","","25.4","","0.0","","0.0","","1.0","","0.8","","32","","33","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1985-02-10","1985","02","10","","1.3","","-1.9","","-0.3","","18.3","","0.0","","0.0","","0.2","","0.2","","31","","34","","52",""
