"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-01","1990","01","01","","8.1","","-5.0","","1.6","","16.4","","0.0","","12.7","","0.0","T","12.7","","2","","27","","67",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-02","1990","01","02","","-3.2","","-8.8","","-6.0","","24.0","","0.0","","0.0","","0.0","","0.0","","1","","28","","70",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-03","1990","01","03","","3.0","","-5.1","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","1","","28","","50",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-04","1990","01","04","","4.2","","-5.8","","-0.8","","18.8","","0.0","","1.9","","0.0","","1.9","","1","","17","","56",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-05","1990","01","05","","5.7","","-7.9","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","0","T","28","","57",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-06","1990","01","06","","-0.7","","-8.3","","-4.5","","22.5","","0.0","","0.0","","2.6","","1.4","","0","T","31","","41",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-07","1990","01","07","","-2.3","","-10.4","","-6.4","","24.4","","0.0","","0.0","","0.0","T","0.0","T","2","","33","","41",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-08","1990","01","08","","4.0","","-3.9","","0.1","","17.9","","0.0","","0.0","","0.3","","0.3","","2","","26","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-09","1990","01","09","","-1.0","","-4.3","","-2.7","","20.7","","0.0","","0.0","","0.0","T","0.0","T","2","","19","","37",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-10","1990","01","10","","4.8","","-1.0","","1.9","","16.1","","0.0","","21.9","","0.0","T","21.9","","2","","14","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-11","1990","01","11","","2.8","","-5.4","","-1.3","","19.3","","0.0","","0.0","T","0.7","","0.7","","1","","32","","63",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-12","1990","01","12","","2.6","","-3.6","","-0.5","","18.5","","0.0","","3.0","","2.6","","5.0","","1","","23","","43",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-13","1990","01","13","","-0.9","","-8.0","","-4.5","","22.5","","0.0","","0.0","","2.8","","1.4","","0","T","27","","31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-14","1990","01","14","","-8.0","","-16.0","","-12.0","","30.0","","0.0","","0.0","","1.6","","0.9","","2","","29","","48",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-15","1990","01","15","","-1.8","","-16.9","","-9.4","","27.4","","0.0","","0.0","","0.4","","0.4","","3","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-16","1990","01","16","","0.3","","-10.7","","-5.2","","23.2","","0.0","","0.6","","2.1","","2.2","","4","","31","","41",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-17","1990","01","17","","1.6","","-8.8","","-3.6","","21.6","","0.0","","0.0","","0.0","","0.0","","4","","19","","61",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-18","1990","01","18","","6.3","","1.2","","3.8","","14.2","","0.0","","0.8","","0.0","","0.8","","3","","19","","67",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-19","1990","01","19","","2.8","","-11.9","","-4.6","","22.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","28","","76",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-20","1990","01","20","","-1.6","","-13.6","","-7.6","","25.6","","0.0","","0.0","","0.0","T","0.0","T","0","T","29","","41",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-21","1990","01","21","","-2.2","","-14.8","","-8.5","","26.5","","0.0","","0.0","","5.5","","0.9","","0","T","35","","43",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-22","1990","01","22","","-7.5","","-17.2","","-12.4","","30.4","","0.0","","0.0","","1.7","","0.6","","6","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-23","1990","01","23","","1.5","","-7.5","","-3.0","","21.0","","0.0","","0.0","","4.2","","2.0","","9","","","","<31",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-24","1990","01","24","","4.0","","-6.5","","-1.3","","19.3","","0.0","","2.9","","5.2","","5.5","","9","","16","","41",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-25","1990","01","25","","3.7","","0.7","","2.2","","15.8","","0.0","","4.5","","0.0","","4.5","","7","","24","","33",""
"-63.50","44.88","HALIFAX STANFIELD INT'L A","8202250","1990-01-26","1990","01","26","","11.0","","3.1","","7.1","","10.9","","0.0","","18.5","","0.0","","18.5","","0","T","19","","85",""
